"created_at","id","id_str","text","truncated","entities:hashtags:text","entities:hashtags:indices","entities:symbols","entities:user_mentions","entities:urls:url","entities:urls:expanded_url","entities:urls:display_url","entities:urls:indices","metadata:iso_language_code","metadata:result_type","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","user:id","user:id_str","user:name","user:screen_name","user:location","user:description","user:url","user:entities:description:urls","user:protected","user:followers_count","user:friends_count","user:listed_count","user:created_at","user:favourites_count","user:utc_offset","user:time_zone","user:geo_enabled","user:verified","user:statuses_count","user:lang","user:contributors_enabled","user:is_translator","user:is_translation_enabled","user:profile_background_color","user:profile_background_image_url","user:profile_background_image_url_https","user:profile_background_tile","user:profile_image_url","user:profile_image_url_https","user:profile_link_color","user:profile_sidebar_border_color","user:profile_sidebar_fill_color","user:profile_text_color","user:profile_use_background_image","user:has_extended_profile","user:default_profile","user:default_profile_image","user:following","user:follow_request_sent","user:notifications","user:translator_type","geo","coordinates","place","contributors","is_quote_status","retweet_count","favorite_count","favorited","retweeted","possibly_sensitive","lang"
"Sun Mar 31 22:08:16 +0000 2019",1112476734132236289,"1112476734132236289","#writinggig Beginners - Comedy Writers get your scripts produced for free (Los Angeles) https://t.co/xOwbHkE63Z",FALSE,"writinggig","0","()","()","https://t.co/xOwbHkE63Z","https://ift.tt/2OB6x3b","ift.tt/2OB6x3b","88","en","recent","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",NA,NA,NA,NA,NA,1589934314,"1589934314","Writing Gigs","Writing_Gigs","","Need a writing Gig, Here you go!",NA,"()",FALSE,5266,869,248,"Sat Jul 13 02:20:35 +0000 2013",0,NA,NA,FALSE,FALSE,239103,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/378800000540230920/70d336c92bad6b85165a9533ecf6be72_normal.jpeg","https://pbs.twimg.com/profile_images/378800000540230920/70d336c92bad6b85165a9533ecf6be72_normal.jpeg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en"
"Sun Mar 31 22:08:16 +0000 2019",1112476732626558976,"1112476732626558976","RT @IMDb: #10ThingsIHateAboutYou was released 20 years ago today.  Here's a look back at teenage romantic comedy starring #JuliaStiles, #He…",FALSE,"10ThingsIHateAboutYou","10","()","((screen_name . IMDb) (name . IMDb) (id . 17602896) (id_str . 17602896) (indices . #(3 8)))",NA,NA,NA,NA,"en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,1850119723,"1850119723","Genepool","hiimgene12","Shelbyville, IL","Creature of habit",NA,"()",FALSE,672,367,4,"Tue Sep 10 02:25:49 +0000 2013",3202,NA,NA,FALSE,FALSE,4879,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1088309121324064769/jXCkRjdI_normal.jpg","https://pbs.twimg.com/profile_images/1088309121324064769/jXCkRjdI_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,23,0,FALSE,FALSE,NA,"en"
"Sun Mar 31 22:08:14 +0000 2019",1112476725760483328,"1112476725760483328","It may be a comedy 😁😁😁but pay attention 👁️
https://t.co/ShaD1FZgCj",FALSE,NA,NA,"()","()","https://t.co/ShaD1FZgCj","https://youtu.be/ozP_cSosoro","youtu.be/ozP_cSosoro","43","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,704068827,"704068827","Sun-Shine, Marie-Joe Aurelus Bien-Aime","marieaurelus67","Ives Estates, FL","Support Education
Children Walking 
SchoolZone
SafetyNeighborhood
😍Politic
Pets/Sport/Fun
Florida Lover
Betasha2013@gmail.com
From
Petion-Ville
Haiti🇭🇹
Miami",NA,"()",FALSE,2188,4980,19,"Mon Oct 07 22:51:12 +0000 2013",44396,NA,NA,TRUE,FALSE,69851,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1111930785056124928/ry2Pkwxc_normal.jpg","https://pbs.twimg.com/profile_images/1111930785056124928/ry2Pkwxc_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en"
"Sun Mar 31 22:08:14 +0000 2019",1112476725470990338,"1112476725470990338","In his comedy series, Zelenskyy plays a teacher who becomes president after denouncing corruption. After results sh… https://t.co/A7Rpkittaj",TRUE,NA,NA,"()","()","https://t.co/A7Rpkittaj","https://twitter.com/i/web/status/1112476725470990338","twitter.com/i/web/status/1…","117","en","recent","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1112475444064993280,"1112475444064993280",14940354,"14940354","nycjim",14940354,"14940354","Jim Roberts","nycjim","iPhone: 40.751663,-73.989670","Full-time student of the news & long-time follower of the Grateful Dead. Editor-in-Chief, 🧀Cheddar🧀. Ex-NYT, Mashable. Listen to the thunder shout.",NA,"()",FALSE,203917,2288,6546,"Thu May 29 03:01:14 +0000 2008",22281,NA,NA,TRUE,TRUE,112193,"en",FALSE,FALSE,FALSE,"9AE4E8","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/3002160609/84b88a8e6a4fff0cd9b5fb0075bf9fc5_normal.png","https://pbs.twimg.com/profile_images/3002160609/84b88a8e6a4fff0cd9b5fb0075bf9fc5_normal.png","0084B4","FFFFFF","DDFFCC","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en"
"Sun Mar 31 22:08:14 +0000 2019",1112476723298357248,"1112476723298357248","@jerweber It’s why Trump loses regularly too.",FALSE,NA,NA,"()","((screen_name . jerweber) (name . Executive-Time Bong Hits) (id . 364843932) (id_str . 364843932) (indices . #(0 9)))",NA,NA,NA,NA,"en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1112469928026738689,"1112469928026738689",364843932,"364843932","jerweber",701948504478908416,"701948504478908416","Balkan Big Man","law_comedy","","Lawyer",NA,"()",FALSE,1267,337,19,"Tue Feb 23 01:55:39 +0000 2016",79539,NA,NA,FALSE,FALSE,5454,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/1034883309803917313/8AfCj4BF_normal.jpg","https://pbs.twimg.com/profile_images/1034883309803917313/8AfCj4BF_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,NA,"en"
"Sun Mar 31 22:08:10 +0000 2019",1112476707305521152,"1112476707305521152","RT @phillipstribune: Review: the Icelandic/eco-friendly/radical activism/Ukrainian adoption comedy WOMAN AT WAR, opening Fri. at @musicboxt…",FALSE,NA,NA,"()","((screen_name . phillipstribune) (name . Michael Phillips) (id . 89018859) (id_str . 89018859) (indices . #(3 19)))",NA,NA,NA,NA,"en","recent","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,NA,NA,NA,1566929143,"1566929143","Dr. EJ O'Dell","emilyjodell","Occupied Long Tidal River","Resident Fellow in Islamic Law at Yale Law School & Editor of Harvard Law's SHARIAsource | Writing @NYTimes @Salon @NPR @HuffPost @AJEnglish @csmonitor @CfWiJ","https://t.co/hNY1roDEYi","()",FALSE,13041,11521,280,"Wed Jul 03 23:33:34 +0000 2013",47809,NA,NA,FALSE,FALSE,103293,"en",FALSE,FALSE,FALSE,"DEADCC","http://abs.twimg.com/images/themes/theme17/bg.gif","https://abs.twimg.com/images/themes/theme17/bg.gif",TRUE,"http://pbs.twimg.com/profile_images/1112425206998597633/zRlcW5AK_normal.png","https://pbs.twimg.com/profile_images/1112425206998597633/zRlcW5AK_normal.png","9C3B79","000000","E6F6F9","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,4,0,FALSE,FALSE,NA,"en"
"Sun Mar 31 22:08:07 +0000 2019",1112476693715976193,"1112476693715976193","Chicago!! Go to the Comedy Film Festival this Friday Apr 5 at 8pm! #chicagocomedy #chicagocomedyfilmfest https://t.co/gXceDTUJ3q",FALSE,"chicagocomedy","67","()","()","https://t.co/gXceDTUJ3q","https://twitter.com/ccfilmfest/status/1105504701376876546","twitter.com/ccfilmfest/sta…","105","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,3884092715,"3884092715","Megan Bones","bones_megan","New York, USA","Girl Friday. Actor at @dziecitheatre. Event Coordinator at @thebackroomnyc.  Kitty cat and dog lover.","https://t.co/VcvwesB0VW","()",FALSE,1540,824,14,"Tue Oct 06 21:34:08 +0000 2015",384,NA,NA,TRUE,FALSE,194,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/651512169251532800/_wZpwyqv_normal.jpg","https://pbs.twimg.com/profile_images/651512169251532800/_wZpwyqv_normal.jpg","3B94D9","000000","000000","000000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,TRUE,0,0,FALSE,FALSE,FALSE,"en"
"Sun Mar 31 22:08:05 +0000 2019",1112476687315488771,"1112476687315488771","Phil from the AT&amp;T commercials is possibly one of the worst ""comedy"" ad sequences in recent memory (the Chevy comme… https://t.co/cIqsdKsEYB",TRUE,NA,NA,"()","()","https://t.co/cIqsdKsEYB","https://twitter.com/i/web/status/1112476687315488771","twitter.com/i/web/status/1…","121","en","recent","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",NA,NA,NA,NA,NA,82417062,"82417062","Mike Tremblay 🚡","mtrem2","Portland, ME","Transportation engineer/planner, depending on which makes me sound smarter.  Personal thoughts on politics, transportation, transportation politics, and dogs.",NA,"()",FALSE,436,175,25,"Wed Oct 14 17:57:37 +0000 2009",1882,NA,NA,TRUE,FALSE,33848,"en",FALSE,FALSE,FALSE,"EBEBEB","http://abs.twimg.com/images/themes/theme7/bg.gif","https://abs.twimg.com/images/themes/theme7/bg.gif",TRUE,"http://pbs.twimg.com/profile_images/986666389099331585/BwPimlA0_normal.jpg","https://pbs.twimg.com/profile_images/986666389099331585/BwPimlA0_normal.jpg","AA0000","FFFFFF","9C9C9C","333333",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,((id . 2438e517cb050ced) (url . https://api.twitter.com/1.1/geo/id/2438e517cb050ced.json) (place_type . city) (name . South Portland) (full_name . South Portland, ME) (country_code . US) (country . United States) (contained_within . #()) (bounding_box (type . Polygon) (coordinates . #(#(#(-70.349558 43.595844) #(-70.220983 43.595844) #(-70.220983 43.655565) #(-70.349558 43.655565))))) (attributes)),NA,FALSE,0,0,FALSE,FALSE,NA,"en"
"Sun Mar 31 22:08:04 +0000 2019",1112476682215137281,"1112476682215137281","@shanaravianna @segamakiza7 @amf_xo @bbcthree Even if there has been,  i had the privilege of going to Auschwitz an… https://t.co/nF8ZQQmFAW",TRUE,NA,NA,"()","((screen_name . shanaravianna) (name . ｓｈａｎａｒà　さ愛怨 🇻🇨) (id . 862336661946085376) (id_str . 862336661946085376) (indices . #(0 14)))","https://t.co/nF8ZQQmFAW","https://twitter.com/i/web/status/1112476682215137281","twitter.com/i/web/status/1…","117","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1112474174897958912,"1112474174897958912",862336661946085376,"862336661946085376","shanaravianna",1452630900,"1452630900","jennifer edwards","Lifeofjaed","","God| Art| Animals| Equality for All| Proudly British Nigerian 🇬🇧🇳🇬 |https://t.co/9LmhLoO1Qr| My views are my own and do not reflect my employer 👷🏾‍♀️","https://t.co/9LmhLoO1Qr","((url . https://t.co/9LmhLoO1Qr) (expanded_url . http://www.travelbyjaed.com) (display_url . travelbyjaed.com) (indices . #(68 91)))",FALSE,545,435,42,"Thu May 23 22:17:27 +0000 2013",2866,NA,NA,FALSE,FALSE,6250,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1100086695754641409/LmLprHUC_normal.jpg","https://pbs.twimg.com/profile_images/1100086695754641409/LmLprHUC_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,NA,"en"
"Sun Mar 31 22:08:00 +0000 2019",1112476667107254278,"1112476667107254278","This is straight up a stand up comedy bit https://t.co/M2rouS3RVo",FALSE,NA,NA,"()","()","https://t.co/M2rouS3RVo","https://twitter.com/atrupar/status/1111419775601635330","twitter.com/atrupar/status…","42","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,144639928,"144639928","Noah","prognoahcore","Minneapolis, MN","Guitarist. Audio Engineer. Host of ""Post-Teen Monkies Podcast."" I think I'm hilarious.","https://t.co/q8opNQasIw","()",FALSE,87,92,4,"Sun May 16 22:27:45 +0000 2010",4215,NA,NA,TRUE,FALSE,4630,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme14/bg.gif","https://abs.twimg.com/images/themes/theme14/bg.gif",FALSE,"http://pbs.twimg.com/profile_images/1091927686434435072/4eGfeXOC_normal.jpg","https://pbs.twimg.com/profile_images/1091927686434435072/4eGfeXOC_normal.jpg","000080","FFFFFF","000000","333333",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,TRUE,0,0,FALSE,FALSE,FALSE,"en"
